날짜,가격,총반입량,평균기온,강수량,환율,경유가격,lag_1,lag_7,lag_30,ma_7,ma_30
2021-01-30,3313,-1.4827507365052006,-1.467225166539674,-0.31915374944112773,-1.9738044568988644,-1.8135798061597044,2.5226817913419572,2.0651584634921663,0.3074565883253021,2.295734420579369,1.309437036106101
2021-01-31,3313,-1.4827507365052006,-1.1976529238057494,-0.2234146311313251,-1.9738044568988644,-1.8135798061597044,2.5226817913419572,2.0651584634921663,0.3074565883253021,2.358507318391384,1.3855337382233814
2021-02-01,3320,0.17257441015191446,-0.7051651726572332,0.8520547975629941,-1.9243624738907157,-1.8081459719429924,2.5226817913419572,2.129019072286184,0.3074565883253021,2.414503596553239,1.4622336984548412
2021-02-02,3311,0.8927158636825023,-1.4931455744948592,-0.31915374944112773,-1.9296534143474355,-1.8081459719429924,2.539988468446827,2.129019072286184,0.3074565883253021,2.467289896986071,1.5381580411109275
2021-02-03,3313,0.45262941985825417,-1.5760908799514515,-0.31915374944112773,-1.9611078504291015,-1.8081459719429924,2.5177370264548515,2.129019072286184,0.3712206330499102,2.5207895258031288,1.6120140702326817
2021-02-04,3313,0.2675930741594226,-1.3168868003996008,-0.21064941538859777,-1.9655322312813777,-1.8081459719429924,2.5226817913419572,2.3230570759295466,0.3932928023776592,2.5461126834432037,1.6850944817790623
2021-02-05,3315,0.46263138449062347,-1.3842798610830818,-0.31915374944112773,-1.9080105861128223,-1.8027121377262807,2.5226817913419572,2.4974456614824416,0.4619617736195448,2.546826011827431,1.7559342203299166
2021-02-06,3315,-0.05747077639257889,-1.052498639256713,-0.31915374944112773,-1.9080105861128223,-1.8027121377262807,2.5276265562290625,2.4974456614824416,0.5257258183441529,2.547539340211658,1.8245332858852452
2021-02-07,3315,-0.05747077639257889,-0.7725582333407144,-0.31915374944112773,-1.9080105861128223,-1.8027121377262807,2.5276265562290625,2.4974456614824416,0.5306307448614305,2.5482526685958855,1.8929599919793794
2021-02-08,3341,1.0177404215871182,-1.3687276163099709,-0.31915374944112773,-1.929942264342572,-1.797278303509569,2.5276265562290625,2.5146389023116003,0.5306307448614305,2.5557426166302735,1.9636273710690386
2021-02-09,3336,0.9227217575796102,-1.3998321058561929,-0.31915374944112773,-1.9349443548041554,-1.791844469292857,2.591908499761436,2.492533306959825,0.5306307448614305,2.5646592214331174,2.0338638515057137
2021-02-10,3343,-0.45254837937116527,-1.2235733317609345,-0.31915374944112773,-1.995832421666671,-1.7809768008594333,2.5795465875436716,2.4974456614824416,0.579680010034206,2.5753591471965294,2.1029799954446244
2021-02-11,3343,-0.45254837937116527,-1.042130476074639,-0.31915374944112773,-2.05373920336842,-1.7755429666427216,2.5968532646485416,2.4974456614824416,0.5943947895860386,2.586059072959941,2.1715790609999526
2021-02-12,3343,-0.45254837937116527,-0.9073443547076767,-0.31915374944112773,-2.070668791136587,-1.7701091324260099,2.5968532646485416,2.5023580160050587,0.6630637608279243,2.596045670339125,2.237765094098561
2021-02-13,3343,-0.45254837937116527,-0.7829263965227885,-0.31915374944112773,-2.070668791136587,-1.7701091324260099,2.5968532646485416,2.5023580160050587,1.0873399045724321,2.606032267718309,2.289042033803863
