날짜,가격
2021-11-15,5503
2021-11-16,5511
2021-11-17,5511
2021-11-18,5462
2021-11-19,5452
2021-11-20,5452
2021-11-21,5452
2021-11-22,5369
2021-11-23,5358
2021-11-24,5358
2021-11-25,5328
2021-11-26,5272
2021-11-27,5272
2021-11-28,5272
2021-11-29,5320
2021-11-30,5397
2021-12-01,5427
2021-12-02,5157
2021-12-03,5157
2021-12-04,5157
2021-12-05,5157
2021-12-06,5096
2021-12-07,4988
2021-12-08,5051
2021-12-09,5354
2021-12-10,5426
2021-12-11,5426
2021-12-12,5426
2021-12-13,5427
2021-12-14,5454
2021-12-15,5454
2021-12-16,5030
2021-12-17,5022
2021-12-18,5022
2021-12-19,5022
2021-12-20,5109
2021-12-21,5121
2021-12-22,5133
2021-12-23,5463
2021-12-24,5482
2021-12-25,5482
2021-12-26,5482
2021-12-27,5451
2021-12-28,5451
2021-12-29,5436
2021-12-30,5478
2021-12-31,5479
2022-01-01,5479
2022-01-02,5479
2022-01-03,5372
2022-01-04,5384
2022-01-05,5429
2022-01-06,5466
2022-01-07,5442
2022-01-08,5442
2022-01-09,5442
2022-01-10,5480
2022-01-11,5500
2022-01-12,5529
2022-01-13,5447
2022-01-14,5507
2022-01-15,5507
2022-01-16,5507
2022-01-17,5422
2022-01-18,5397
2022-01-19,5398
2022-01-20,5425
2022-01-21,5430
2022-01-22,5430
2022-01-23,5430
2022-01-24,5411
2022-01-25,5445
2022-01-26,5415
2022-01-27,5384
2022-01-28,5298
2022-01-29,5298
2022-01-30,5298
2022-01-31,5298
2022-02-01,5298
2022-02-02,5298
2022-02-03,5271
2022-02-04,5271
2022-02-05,5271
2022-02-06,5271
2022-02-07,5200
2022-02-08,5200
2022-02-09,5223
2022-02-10,5179
2022-02-11,4956
2022-02-12,4956
2022-02-13,4956
2022-02-14,4974
2022-02-15,4976
2022-02-16,4984
2022-02-17,5066
2022-02-18,5103
2022-02-19,5103
2022-02-20,5103
2022-02-21,5079
2022-02-22,5407
2022-02-23,5391
2022-02-24,5336
2022-02-25,5392
2022-02-26,5392
2022-02-27,5392
2022-02-28,5236
2022-03-01,5236
2022-03-02,5222
2022-03-03,5337
2022-03-04,5345
2022-03-05,5345
2022-03-06,5345
2022-03-07,5349
2022-03-08,5349
2022-03-09,5349
2022-03-10,5251
2022-03-11,5230
2022-03-12,5230
2022-03-13,5230
2022-03-14,5205
2022-03-15,5187
2022-03-16,5100
2022-03-17,5007
2022-03-18,5007
2022-03-19,5007
2022-03-20,5007
2022-03-21,5021
2022-03-22,5029
2022-03-23,5016
2022-03-24,5060
2022-03-25,5081
2022-03-26,5081
2022-03-27,5081
2022-03-28,5219
2022-03-29,5343
2022-03-30,5343
2022-03-31,5388
2022-04-01,5388
2022-04-02,5388
2022-04-03,5388
2022-04-04,5367
2022-04-05,5425
2022-04-06,5414
2022-04-07,5446
2022-04-08,5468
2022-04-09,5468
2022-04-10,5468
2022-04-11,5366
2022-04-12,5369
2022-04-13,5331
2022-04-14,5219
2022-04-15,5229
2022-04-16,5229
2022-04-17,5229
2022-04-18,5256
2022-04-19,5320
2022-04-20,5320
2022-04-21,5305
2022-04-22,5326
2022-04-23,5326
2022-04-24,5326
2022-04-25,5326
2022-04-26,5334
2022-04-27,5334
2022-04-28,5287
2022-04-29,5348
2022-04-30,5348
2022-05-01,5348
2022-05-02,5419
2022-05-03,5419
2022-05-04,5455
2022-05-05,5455
2022-05-06,5431
2022-05-07,5431
2022-05-08,5431
2022-05-09,5423
2022-05-10,5391
2022-05-11,5370
2022-05-12,5362
2022-05-13,5384
2022-05-14,5384
2022-05-15,5384
2022-05-16,5347
2022-05-17,5272
2022-05-18,5317
2022-05-19,5282
2022-05-20,5282
2022-05-21,5282
2022-05-22,5282
2022-05-23,5311
2022-05-24,5299
2022-05-25,5289
2022-05-26,5343
2022-05-27,5291
2022-05-28,5291
2022-05-29,5291
2022-05-30,5299
2022-05-31,5429
2022-06-01,5429
2022-06-02,5394
2022-06-03,5396
2022-06-04,5396
2022-06-05,5396
2022-06-06,5396
2022-06-07,5240
2022-06-08,5339
2022-06-09,5222
2022-06-10,5266
2022-06-11,5266
2022-06-12,5266
2022-06-13,5314
2022-06-14,5325
2022-06-15,5343
2022-06-16,5248
2022-06-17,5250
2022-06-18,5250
2022-06-19,5250
2022-06-20,5261
2022-06-21,5243
2022-06-22,5261
2022-06-23,5272
2022-06-24,5272
2022-06-25,5272
2022-06-26,5272
2022-06-27,5252
2022-06-28,5259
2022-06-29,5258
2022-06-30,5138
2022-07-01,5100
2022-07-02,5100
2022-07-03,5100
2022-07-04,5180
2022-07-05,5180
2022-07-06,5180
2022-07-07,5102
2022-07-08,5102
2022-07-09,5102
2022-07-10,5102
2022-07-11,5092
2022-07-12,5050
2022-07-13,5030
2022-07-14,5120
2022-07-15,5113
2022-07-16,5113
2022-07-17,5113
2022-07-18,5120
2022-07-19,5124
2022-07-20,5125
2022-07-21,5687
2022-07-22,5849
2022-07-23,5849
2022-07-24,5849
2022-07-25,5944
2022-07-26,5970
2022-07-27,5970
2022-07-28,6135
2022-07-29,6145
2022-07-30,6145
2022-07-31,6145
2022-08-01,6197
2022-08-02,6199
2022-08-03,6196
2022-08-04,5386
2022-08-05,5429
2022-08-06,5429
2022-08-07,5429
2022-08-08,5433
2022-08-09,5599
2022-08-10,5612
2022-08-11,6084
2022-08-12,6107
2022-08-13,6107
2022-08-14,6107
2022-08-15,6107
2022-08-16,6112
2022-08-17,6031
2022-08-18,5970
2022-08-19,5947
2022-08-20,5947
2022-08-21,5947
2022-08-22,5949
2022-08-23,5937
2022-08-24,5992
2022-08-25,5918
2022-08-26,5827
2022-08-27,5827
2022-08-28,5827
2022-08-29,5840
2022-08-30,5773
2022-08-31,5781
2022-09-01,5847
2022-09-02,5831
2022-09-03,5831
2022-09-04,5831
2022-09-05,5831
2022-09-06,5831
2022-09-07,5781
2022-09-08,5718
2022-09-09,5718
2022-09-10,5718
2022-09-11,5718
2022-09-12,5718
2022-09-13,5766
2022-09-14,5717
2022-09-15,5239
2022-09-16,5322
2022-09-17,5322
2022-09-18,5322
2022-09-19,5299
2022-09-20,5224
2022-09-21,5218
2022-09-22,5709
2022-09-23,5621
2022-09-24,5621
2022-09-25,5621
2022-09-26,5629
2022-09-27,5629
2022-09-28,5631
2022-09-29,5624
2022-09-30,5627
2022-10-01,5627
2022-10-02,5627
2022-10-03,5627
2022-10-04,5510
2022-10-05,5511
2022-10-06,5410
2022-10-07,5387
2022-10-08,5387
2022-10-09,5387
2022-10-10,5387
2022-10-11,5358
2022-10-12,5308
2022-10-13,5148
