날짜,Average_Value
2020.12.31,-6.433333333333334
2021.01.01,-2.8666666666666667
2021.01.02,-1.9000000000000001
2021.01.03,-3.1
2021.01.04,-2.0333333333333337
2021.01.05,-2.033333333333333
2021.01.06,-4.733333333333333
2021.01.07,-10.866666666666667
2021.01.08,-13.133333333333333
2021.01.09,-10.333333333333334
2021.01.10,-7.5
2021.01.11,-5.733333333333334
2021.01.12,-3.8000000000000003
2021.01.13,2.866666666666667
2021.01.14,2.8333333333333335
2021.01.15,5.699999999999999
2021.01.16,-1.2
2021.01.17,-3.1666666666666665
2021.01.18,-0.7999999999999999
2021.01.19,-4.7
2021.01.20,0.5666666666666668
2021.01.21,5.633333333333333
2021.01.22,6.833333333333333
2021.01.23,8.166666666666666
2021.01.24,6.966666666666666
2021.01.25,6.033333333333334
2021.01.26,5.033333333333333
2021.01.27,3.133333333333333
2021.01.28,-1.1666666666666667
2021.01.29,-5.0
2021.01.30,-0.06666666666666672
2021.01.31,4.066666666666666
2021.02.01,6.699999999999999
2021.02.02,-2.433333333333333
2021.02.03,-1.5666666666666667
2021.02.04,-0.5666666666666668
2021.02.05,0.6333333333333333
2021.02.06,5.466666666666666
2021.02.07,5.233333333333333
2021.02.08,-0.9666666666666667
2021.02.09,-0.5
2021.02.10,1.4000000000000001
2021.02.11,3.8333333333333335
2021.02.12,5.266666666666667
2021.02.13,5.733333333333334
2021.02.14,8.4
2021.02.15,2.6333333333333333
2021.02.16,-1.6666666666666667
2021.02.17,-5.633333333333333
2021.02.18,-3.4
2021.02.19,2.466666666666667
2021.02.20,8.833333333333334
2021.02.21,12.233333333333334
2021.02.22,8.666666666666666
2021.02.23,1.9000000000000001
2021.02.24,3.0
2021.02.25,4.566666666666666
2021.02.26,8.366666666666667
2021.02.27,8.466666666666667
2021.02.28,7.733333333333333
2021.03.01,8.466666666666667
2021.03.02,3.0
2021.03.03,3.633333333333333
2021.03.04,6.2
2021.03.05,8.333333333333334
2021.03.06,6.699999999999999
2021.03.07,6.633333333333333
2021.03.08,6.3
2021.03.09,6.133333333333333
2021.03.10,7.666666666666667
2021.03.11,9.533333333333333
2021.03.12,8.9
2021.03.13,8.233333333333333
2021.03.14,7.3999999999999995
2021.03.15,10.166666666666666
2021.03.16,9.133333333333333
2021.03.17,7.166666666666667
2021.03.18,9.5
2021.03.19,12.299999999999999
2021.03.20,8.666666666666666
2021.03.21,6.266666666666667
2021.03.22,6.533333333333334
2021.03.23,8.233333333333333
2021.03.24,9.6
2021.03.25,10.633333333333333
2021.03.26,11.666666666666666
2021.03.27,12.933333333333332
2021.03.28,10.266666666666666
2021.03.29,11.1
2021.03.30,10.866666666666667
2021.03.31,12.533333333333333
2021.04.01,15.633333333333335
2021.04.02,17.166666666666668
2021.04.03,14.866666666666667
2021.04.04,10.4
2021.04.05,10.266666666666666
2021.04.06,11.533333333333331
2021.04.07,12.199999999999998
2021.04.08,11.5
2021.04.09,11.633333333333333
2021.04.10,11.733333333333334
2021.04.11,13.566666666666668
2021.04.12,13.266666666666666
2021.04.13,9.799999999999999
2021.04.14,8.366666666666667
2021.04.15,9.700000000000001
2021.04.16,11.4
2021.04.17,10.0
2021.04.18,10.1
2021.04.19,11.200000000000001
2021.04.20,13.133333333333333
2021.04.21,16.900000000000002
2021.04.22,19.333333333333332
2021.04.23,19.26666666666667
2021.04.24,17.2
2021.04.25,15.866666666666665
2021.04.26,15.300000000000002
2021.04.27,15.200000000000001
2021.04.28,15.5
2021.04.29,14.433333333333332
2021.04.30,12.333333333333334
2021.05.01,10.766666666666666
2021.05.02,11.899999999999999
2021.05.03,13.266666666666667
2021.05.04,15.866666666666667
2021.05.05,13.933333333333332
2021.05.06,14.333333333333334
2021.05.07,14.566666666666668
2021.05.08,14.533333333333333
2021.05.09,15.5
2021.05.10,13.699999999999998
2021.05.11,16.96666666666667
2021.05.12,19.733333333333334
2021.05.13,19.766666666666666
2021.05.14,21.133333333333333
2021.05.15,21.033333333333335
2021.05.16,19.333333333333332
2021.05.17,14.966666666666667
2021.05.18,17.0
2021.05.19,19.099999999999998
2021.05.20,16.566666666666666
2021.05.21,15.800000000000002
2021.05.22,17.933333333333334
2021.05.23,19.46666666666667
2021.05.24,18.366666666666667
2021.05.25,15.700000000000001
2021.05.26,17.03333333333333
2021.05.27,15.866666666666665
2021.05.28,16.0
2021.05.29,17.133333333333333
2021.05.30,19.066666666666666
2021.05.31,20.566666666666666
2021.06.01,21.53333333333333
2021.06.02,23.066666666666666
2021.06.03,19.133333333333336
2021.06.04,18.4
2021.06.05,19.833333333333332
2021.06.06,21.76666666666667
2021.06.07,21.066666666666666
2021.06.08,23.233333333333334
2021.06.09,24.633333333333336
2021.06.10,23.7
2021.06.11,22.366666666666664
2021.06.12,23.2
2021.06.13,22.03333333333333
2021.06.14,22.366666666666664
2021.06.15,21.53333333333333
2021.06.16,23.600000000000005
2021.06.17,21.233333333333334
2021.06.18,20.933333333333334
2021.06.19,21.833333333333332
2021.06.20,23.03333333333333
2021.06.21,22.900000000000002
2021.06.22,22.233333333333334
2021.06.23,21.666666666666668
2021.06.24,22.166666666666668
2021.06.25,23.333333333333332
2021.06.26,22.833333333333332
2021.06.27,24.133333333333336
2021.06.28,23.433333333333337
2021.06.29,23.233333333333334
2021.06.30,23.7
2021.07.01,25.099999999999998
2021.07.02,25.099999999999998
2021.07.03,23.03333333333333
2021.07.04,22.433333333333337
2021.07.05,22.03333333333333
2021.07.06,24.099999999999998
2021.07.07,25.333333333333332
2021.07.08,25.2
2021.07.09,25.2
2021.07.10,25.700000000000003
2021.07.11,25.3
2021.07.12,26.766666666666666
2021.07.13,27.933333333333334
2021.07.14,28.03333333333333
2021.07.15,27.599999999999998
2021.07.16,26.466666666666665
2021.07.17,26.03333333333333
2021.07.18,26.400000000000002
2021.07.19,26.133333333333336
2021.07.20,27.066666666666666
2021.07.21,28.233333333333334
2021.07.22,28.5
2021.07.23,28.133333333333336
2021.07.24,28.566666666666666
2021.07.25,28.566666666666666
2021.07.26,28.15
2021.07.27,28.333333333333332
2021.07.28,28.133333333333336
2021.07.29,27.733333333333334
2021.07.30,28.066666666666663
2021.07.31,28.633333333333336
2021.08.01,26.866666666666664
2021.08.02,26.266666666666666
2021.08.03,26.933333333333334
2021.08.04,28.133333333333336
2021.08.05,28.766666666666666
2021.08.06,27.7
2021.08.07,27.266666666666666
2021.08.08,25.933333333333337
2021.08.09,27.099999999999998
2021.08.10,25.566666666666666
2021.08.11,26.53333333333333
2021.08.12,26.0
2021.08.13,25.566666666666666
2021.08.14,24.46666666666667
2021.08.15,25.366666666666664
2021.08.16,25.600000000000005
2021.08.17,25.333333333333332
2021.08.18,23.600000000000005
2021.08.19,23.933333333333334
2021.08.20,25.733333333333334
2021.08.21,24.433333333333337
2021.08.22,24.96666666666667
2021.08.23,23.2
2021.08.24,25.03333333333333
2021.08.25,23.933333333333334
2021.08.26,25.033333333333335
2021.08.27,22.866666666666664
2021.08.28,22.96666666666667
2021.08.29,23.46666666666667
2021.08.30,23.599999999999998
2021.08.31,23.46666666666667
2021.09.01,22.733333333333334
2021.09.02,22.366666666666664
2021.09.03,22.96666666666667
2021.09.04,22.36666666666667
2021.09.05,21.166666666666664
