날짜,총반입량,평균기온,강수량,환율,경유가격,총반입량_lag_1,총반입량_lag_7,총반입량_lag_30,평균기온_lag_1,평균기온_lag_7,평균기온_lag_30,강수량_lag_1,강수량_lag_7,강수량_lag_30,환율_lag_1,환율_lag_7,환율_lag_30,경유가격_lag_1,경유가격_lag_7,경유가격_lag_30
2024-02-23,-0.6675906189671047,-1.1354439447133051,-0.14682333648338844,0.09313378277572976,-0.27580472283025814,-0.9224340855511695,-0.9907157438355708,-1.617546341001488,-1.1178085616080446,-1.1339285998141941,-1.8038386330873446,0.12123656114722318,-0.31987983781019796,-0.29985392188110044,0.14972132886151926,0.11066329742675622,0.24171194836526577,-0.27924218314078736,-0.3326750179222762,-0.5501241239865631
2024-02-24,-0.5525680256948581,-1.0784190472118982,0.10209837112209096,0.09313378277572976,-0.2703708886135463,-0.6672495020657703,-0.7503448688439402,-1.777594761057457,-1.1333474441225864,-1.0097854254811138,-1.6613124018983914,-0.14683380079994346,-0.31987983781019796,-0.31590014974738223,0.09491625925843433,0.11066329742675622,0.17627160349766524,-0.27380574043871503,-0.32177091077942593,-0.5446483010986288
2024-02-25,-0.5525680256948581,-0.995473741755306,-0.17873637588807534,0.09313378277572976,-0.2703708886135463,-0.5521662585331393,-0.7503448688439402,-1.0423723314253504,-1.0763715415692656,-0.7977075026621012,-1.3253577140958583,0.10208867815099706,1.6171229348261158,-0.31590014974738223,0.09491625925843433,0.11066329742675622,0.23458855810064513,-0.2683692977366427,-0.31631885720800074,-0.5336966553227604
2024-02-26,-0.0724737233411328,-0.995473741755306,-0.31915374944102803,0.1203552279399582,-0.26493705439683446,-0.5521662585331393,-0.24957221261137663,-0.27213930990600055,-0.9934975014917082,0.00405049823904345,-1.2999066013835452,-0.178746939095074,1.4703319507037942,-0.31590014974738223,0.09491625925843433,0.1482466504741001,0.23458855810064513,-0.2683692977366427,-0.2999626964937253,-0.5172691866589579
2024-02-27,0.16257244551954517,-1.1302598631222682,-0.31915374944102803,0.1368996887939652,-0.2595032201801227,-0.07181880726650558,-0.7553525954062659,-0.27213930990600055,-0.9934975014917082,-0.6166653734263589,-1.3406283817232463,-0.3191647477659792,0.509808335151549,-0.31590014974738223,0.12212630642439565,0.16512124063095876,0.23458855810064513,-0.2629328550345704,-0.28360653577944983,-0.5172691866589579
2024-02-28,-0.18249533429719483,-0.969553333800121,-0.31915374944102803,0.13757367532229528,-0.2595032201801227,0.16335129908278384,-0.740329415719289,1.0132495636684988,-1.1281678166177391,-0.8649517220925198,-1.4729741678272743,-0.3191647477659792,0.8321102789001941,-0.31590014974738223,0.13866383988218958,0.16905255676005884,0.24152181083232208,-0.2574964123324981,-0.2781544822080247,-0.5008417179951554
2024-02-29,0.24258816257849938,-1.011025986528417,0.10528967503383789,0.15286761356090647,-0.25406938596341083,-0.18189843151510912,-0.9206075719630119,0.37805739657137266,-0.9675993639674715,-1.1132380707586809,-1.2439141534164564,-0.3191647477659792,0.12049311551409955,-0.309481658581614,0.13933754420297206,0.1606152616816295,0.20780396485162092,-0.2574964123324981,-0.26725037506517435,-0.4844142493313528
2024-03-01,0.5126412076524698,-1.4309365954024151,-0.31915374944102803,0.17037373741613893,-0.25406938596341083,0.2434092076272228,-0.6652135172844045,0.25802108152939607,-1.0090363840062502,-1.1287559675503156,-0.6330874483209418,0.10527999195178828,-0.14755998650938587,-0.1746933447744236,0.1546250786566082,0.10596538069278318,0.14521343198684614,-0.2520599696304258,-0.2617983214937492,-0.46798678066755023
2024-03-02,0.5126412076524698,-1.5242500640410812,-0.312771141521795,0.17037373741613893,-0.25406938596341083,0.5136046489647043,-0.5500358063509148,0.25301956840264705,-1.4285862118988855,-1.0718570126476539,-0.6992603413729559,-0.3191647477659792,0.10134646536956494,-0.28701693964584146,0.17212387245393368,0.10596538069278318,0.21445315577525237,-0.2520599696304258,-0.25634626792232407,-0.44608348911581347
2024-03-03,0.5126412076524698,-0.9591851706180468,-0.29362331785983503,0.17037373741613893,-0.248635551746699,0.5136046489647043,-0.5500358063509148,-0.13709845548377686,-1.5218195069861378,-0.9890948964256004,-0.7756136795098952,-0.31278212006865735,-0.17947107005169927,-0.31269090421263684,0.17212387245393368,0.10596538069278318,0.16734301317003913,-0.2520599696304258,-0.25634626792232407,-0.4351318433399451
2024-03-04,0.5076402253362852,-0.6429561935647891,-0.2840494060288551,0.1290125900906383,-0.24320171752998718,0.5136046489647043,-0.06929405636765373,0.16799384524791364,-0.9572401089577767,-0.9890948964256004,-0.8366963500194465,-0.29363423707243114,-0.31987983781019796,0.12055724731047525,0.17212387245393368,0.13309837860867266,0.16734301317003913,-0.2466235269283535,-0.2508942143508989,-0.4241801975640767
2024-03-05,-0.2725130159885183,-0.8295831308421215,0.6510026491124791,0.11015848355971201,-0.24320171752998718,0.5086010296806768,0.16606909206165116,0.16799384524791364,-0.6412828311620884,-1.1235833352864375,-0.8163354598495961,-0.28406029557431806,-0.31987983781019796,0.2039976320803523,0.1307800436169519,0.14958908360846396,0.16734301317003913,-0.24118708422628118,-0.24544216077947376,-0.4241801975640767
2024-03-06,-0.14248747576771773,-0.6481402751558261,-0.31915374944102803,0.15334903663215668,-0.24320171752998718,-0.27196357862760295,-0.17946404073881772,0.7431678548240515,-0.8277494213365929,-0.9632317351062086,-0.9486812459536244,0.6509946570570164,-0.31987983781019796,0.9774258133673537,0.11193383156305542,0.1502608802363869,0.2507344439722885,-0.24118708422628118,-0.24544216077947376,-0.41322855178820833
2024-03-07,-0.22250319282667194,-0.8503194572062694,-0.31915374944102803,0.0923635097093429,-0.24320171752998718,-0.14186947724288965,0.24619271705886134,0.35304983093762754,-0.6464624586669357,-1.0046127932172353,-0.9995834713782505,-0.3191647477659792,0.1045375736950763,-0.26455222071006884,0.1551063001493126,0.16550512578802612,0.20951409139922825,-0.24118708422628118,-0.2399901072080486,-0.39680108312440576
2024-03-08,-0.08747667028968671,-1.026578231301528,-0.31915374944102803,0.035515860688151185,-0.24320171752998718,-0.2219273857873286,0.5166099514244457,-0.0420697060755454,-0.8484679313559823,-1.423596006591382,-1.1624705927370544,-0.3191647477659792,-0.31987983781019796,-0.31590014974738223,0.09414630871610975,0.18295436917733418,0.14682848501905532,-0.24118708422628118,-0.2399901072080486,-0.38584943734853744
2024-03-09,-1.2226996560635994,-1.1095235367581202,-0.31915374944102803,0.035515860688151185,-0.24320171752998718,-0.08682966511858788,0.5166099514244457,-1.177413185847574,-1.0245752665207921,-1.5167033873411924,-1.2286434857890685,-0.3191647477659792,-0.313497621063442,-0.31590014974738223,0.037322462597413675,0.18295436917733418,0.15471128567300702,-0.24118708422628118,-0.2399901072080486,-0.38037361446060325
2024-03-10,-1.2226996560635994,-1.00584190493738,-0.31915374944102803,0.035515860688151185,-0.248635551746699,-1.2226512425928155,0.5166099514244457,-3.1480093577866897,-1.1074493065983497,-0.9528864705784518,-1.1777412603644424,-0.3191647477659792,-0.29435097091890733,-0.31590014974738223,0.037322462597413675,0.18295436917733418,0.19127779441623755,-0.24118708422628118,-0.23453805363662344,-0.3639461457968007
2024-03-11,-0.5525680256948581,-0.8555035387973066,-0.2808581021171081,-0.014503831929304467,-0.24320171752998718,-1.2226512425928155,0.51160222486212,-3.1480093577866897,-1.0038567565014027,-0.6373559024818723,-1.1879217054493676,-0.3191647477659792,-0.28477764584663995,-0.31590014974738223,0.037322462597413675,0.1417276114717458,0.19127779441623755,-0.2466235269283535,-0.22908600006519828,-0.3584703229088665
2024-03-12,-0.6925955305480279,-0.8192149676600475,-0.2840494060288551,-0.06683081356016322,-0.248635551746699,-0.5521662585331393,-0.26960311886067917,-3.1480093577866897,-0.8536475588608297,-0.8235706639814929,-1.1217488123973534,-0.2808689817735268,0.6502171025271146,-0.31590014974738223,-0.012676286078001555,0.12293476523881212,0.19127779441623755,-0.24118708422628118,-0.22908600006519828,-0.3584703229088665
2024-03-13,-0.4775532909520885,-0.7103492542482702,-0.31915374944102803,-0.060963346635411364,-0.248635551746699,-0.6922675984859075,-0.13940222824021264,-3.1480093577866897,-0.8173901663268983,-0.6425285347457507,-1.126839034939816,-0.28406029557431806,-0.31987983781019796,-0.31590014974738223,-0.06498135767277095,0.16598498463130523,0.1778866565298744,-0.2466235269283535,-0.22908600006519828,-0.3529945000209323
