날짜,총반입량,평균기온,강수량,환율,경유가격,총반입량_lag_1,총반입량_lag_7,총반입량_lag_30,평균기온_lag_1,평균기온_lag_7,평균기온_lag_30,강수량_lag_1,강수량_lag_7,강수량_lag_30,환율_lag_1,환율_lag_7,환율_lag_30,경유가격_lag_1,경유가격_lag_7,경유가격_lag_30
2021-01-30,-1.4827507365052006,-1.467225166539674,-0.319153749441028,-1.9738044568988644,-1.8135798061597044,0.0983042483904271,-0.1644408610518408,-0.0220636535685493,-1.8377767847818256,-0.5339032572043053,-1.7732972978325687,-0.300016864769753,0.1619775241286802,-0.261342975079046,-1.9711565245841145,-2.0730497626536426,-2.1361705580341623,-1.8123190251251775,-1.8101815357784927,-1.9355073146339128
2021-01-31,-1.4827507365052006,-1.1976529238057494,-0.2234146311312282,-1.9738044568988644,-1.8135798061597044,-1.482839445362242,-0.1644408610518408,-0.0220636535685493,-1.4648436044328168,-0.7252906509678043,-1.7020341822380922,-0.3191647477659792,-0.3198798378101979,-0.3159001497473822,-1.9711565245841145,-2.0730497626536426,-2.15298194901574,-1.8123190251251775,-1.8101815357784927,-1.913604023082176
2021-02-01,0.1725744101519144,-0.7051651726572332,0.8520547975630587,-1.924362473890716,-1.8081459719429924,-1.482839445362242,0.015837295191882,-0.0220636535685493,-1.1955029741807548,-0.808052767189858,-1.5340568383368258,-0.2234253327848482,-0.3198798378101979,-0.3062724130468686,-1.9711565245841145,-2.027603767760319,-2.15298194901574,-1.8123190251251775,-1.8101815357784927,-1.902652377306308
2021-02-02,0.8927158636825023,-1.4931455744948592,-0.319153749441028,-1.9296534143474355,-1.8081459719429924,0.1733585376508387,0.0258527483165333,-0.0220636535685493,-0.7034383612202566,-0.9373685737868168,-1.4831546129121995,0.8520474285173916,0.6374526694165358,-0.3159001497473822,-1.9217352436229456,-2.0555045455781227,-2.15298194901574,-1.8068825824231052,-1.8101815357784927,-1.8971765544183732
2021-02-03,0.4526294198582541,-1.5760908799514517,-0.319153749441028,-1.9611078504291013,-1.8081459719429924,0.8938797145507893,-0.6501903375974275,0.448078580345859,-1.4907417419570537,-0.9787496318978436,-1.4984252805395877,-0.3191647477659792,-0.3198798378101979,-0.3159001497473822,-1.927023968689197,-2.0625034338359765,-2.152222538626409,-1.8068825824231052,-1.804729482207068,-1.8862249086425047
2021-02-04,0.2675930741594226,-1.3168868003996008,-0.2106494153885013,-1.9655322312813777,-1.8081459719429924,0.453561217556375,-0.0142090641820717,-0.0270651666952983,-1.5736157820346113,-1.3925602130081118,-1.4577035001998866,-0.3191647477659792,-0.2879687542678845,-0.3062724130468686,-1.958465234360336,-2.0001828583735737,-2.13427145269176,-1.8068825824231052,-1.804729482207068,-1.8752732628666369
2021-02-05,0.4626313844906234,-1.3842798610830818,-0.319153749441028,-1.9080105861128225,-1.8027121377262807,0.26842730404736,0.1009686467514178,0.1279817402339214,-1.3146344067922435,-1.832233955437772,-1.8191093007147328,-0.2106600774859439,-0.3007331876656632,-0.2741799574105824,-1.9628877626627208,-1.9542570142247504,-2.135886505723969,-1.8068825824231052,-1.804729482207068,-1.8697974399787023
2021-02-06,-0.0574707763925788,-1.052498639256713,-0.319153749441028,-1.9080105861128225,-1.8027121377262807,0.4635684561244299,-1.481472946943483,-0.5022089137364556,-1.3819695643552592,-1.4598044324385304,-2.236507549196668,-0.3191647477659792,-0.3198798378101979,-0.2388782561432734,-1.905390202608236,-1.9542570142247504,-2.131137578880889,-1.801446139721033,-1.804729482207068,-1.8588457942028345
2021-02-07,-0.0574707763925788,-0.7725582333407144,-0.319153749441028,-1.9080105861128225,-1.8027121377262807,-0.0568079494144232,-1.481472946943483,-0.4071801643282242,-1.050473404045029,-1.190827554716856,-2.389214225470546,-0.3191647477659792,-0.2241465870875245,-0.2870169396458414,-1.905390202608236,-1.9542570142247504,-2.0730107618108526,-1.801446139721033,-1.804729482207068,-1.8533699713149
2021-02-08,1.0177404215871182,-1.3687276163099709,-0.319153749441028,-1.929942264342572,-1.797278303509569,-0.0568079494144232,0.1760845451863024,-2.437794493788328,-0.7707735187832722,-0.6994274896484126,-2.231417326654205,-0.3191647477659792,0.8512569290447288,-0.2420875016780188,-1.905390202608236,-1.9049756768885384,-2.0730107618108526,-1.801446139721033,-1.7992774286356428,-1.8478941484269655
2021-02-09,0.9227217575796102,-1.3998321058561929,-0.319153749441028,-1.9349443548041556,-1.791844469292857,1.018970196651475,0.897197170161194,-2.437794493788328,-1.3664306818407173,-1.4856675937579222,-1.9667257544461487,-0.3191647477659792,-0.3198798378101979,-0.3126909042126368,-1.9273126977388173,-1.9102494261520029,-2.0730107618108526,-1.7960096970189607,-1.7992774286356428,-1.842418325539032
2021-02-10,-0.4525483793711652,-1.2235733317609343,-0.319153749441028,-1.995832421666671,-1.780976800859433,0.923901430254954,0.456517232676538,-0.5122119399899537,-1.3975084468698014,-1.5684297099799758,-1.875101748681821,-0.3191647477659792,-0.3198798378101979,-0.3159001497473822,-1.932312693755448,-1.9416016612556275,-2.075385225232393,-1.7905732543168884,-1.7992774286356428,-1.8369425026510973
2021-02-11,-0.4525483793711652,-1.042130476074639,-0.319153749441028,-2.05373920336842,-1.7755429666427216,-0.4520938728525905,0.2712313498704895,0.5231012772470943,-1.2214011117049914,-1.3097980967860583,-1.6867635146107045,-0.3191647477659792,-0.2113821536897459,-0.309481658581614,-1.9931752659362376,-1.946011666518745,-2.040907968862361,-1.779700368912744,-1.7992774286356428,-1.8314666797631631
