날짜,가격,총반입량,평균기온,강수량,환율,경유가격,lag_1,lag_7,lag_30,ma_7,ma_30
2021-01-30,3246,-1.3544530548590659,-1.4268716332146048,-0.3350798058289603,-1.9738044568988644,-1.8135798061597044,-1.012547113386767,-1.1452278642406255,-1.2166280748229357,-1.1078817400740815,-1.2390075615170142
2021-01-31,3246,-1.3544530548590659,-0.9718883273309097,-0.1911958491212515,-1.9738044568988644,-1.8135798061597044,-1.012547113386767,-1.1452278642406255,-1.2166280748229357,-1.0880892173302568,-1.2307733833368744
2021-02-01,3300,-0.10196463980241777,-0.6400181512745675,0.42611273933440236,-1.9243624738907157,-1.8081459719429924,-1.012547113386767,-1.1373676608301986,-1.2166280748229357,-1.0638639941802632,-1.2211710647821885
2021-02-02,3340,-0.2891693139389986,-1.6784506376444126,-0.3350798058289603,-1.9296534143474355,-1.8081459719429924,-0.9738881730127444,-1.1373676608301986,-1.2166280748229357,-1.0355153287919725,-1.2105553089130237
2021-02-03,3401,-0.33374185540008927,-1.6195704451182873,-0.3350798058289603,-1.9611078504291015,-1.8081459719429924,-0.9452519208838388,-1.143084172401418,-1.2059990325145684,-1.00005372554262,-1.1987741001322083
2021-02-04,3399,-0.3961434134456162,-1.4268716332146048,-0.27938279032920205,-1.9655322312813777,-1.8081459719429924,-0.9015816363872577,-1.0880627485284295,-1.1939527845650852,-0.9727359207139037,-1.1874742740757702
2021-02-05,3518,-0.6323778831893968,-1.2234673317607176,-0.3350798058289603,-1.9080105861128223,-1.8027121377262807,-0.9030134489937031,-1.0080315865313556,-1.183323742256718,-0.9446965134934857,-1.1735395110016877
2021-02-06,3518,-0.9711291982936859,-0.7898950049774318,-0.3350798058289603,-1.9080105861128223,-1.8027121377262807,-0.8178205989102089,-1.0080315865313556,-1.1776549196922554,-0.9166571062730676,-1.159807435390501
2021-02-07,3518,-0.9711291982936859,-0.90230264525458,-0.3350798058289603,-1.9080105861128223,-1.8027121377262807,-0.8178205989102089,-1.0080315865313556,-1.1734033027689084,-0.8886176990526493,-1.1462273753764858
2021-02-08,3610,-0.06630660663354522,-1.5339265287166508,-0.3350798058289603,-1.929942264342572,-1.797278303509569,-0.8178205989102089,-0.9694451334256233,-1.1734033027689084,-0.8566610217058492,-1.1303164095391696
2021-02-09,3637,-0.7972962865954323,-1.4001079093390933,-0.3350798058289603,-1.9349443548041554,-1.791844469292857,-0.7519572190137259,-0.9408625755695255,-1.1734033027689084,-0.8260444630864954,-1.1137213735145801
2021-02-10,3668,-0.5610618168516518,-1.1752926287847971,-0.3350798058289603,-1.995832421666671,-1.7809768008594333,-0.7326277488267147,-0.8972741748389762,-1.147184998408269,-0.7985204861458645,-1.0972783530871626
2021-02-11,3668,-1.8492082650771724,-0.8808916661541709,-0.3350798058289603,-2.05373920336842,-1.7755429666427216,-0.7104346534268128,-0.8987033027317811,-1.147184998408269,-0.7707903370933185,-1.080835332659745
2021-02-12,3668,-1.8492082650771724,-0.6614291303749769,-0.3350798058289603,-2.070668791136587,-1.7701091324260099,-0.7104346534268128,-0.8136701931098899,-1.1606484519988676,-0.7553274286997054,-1.06391092950795
2021-02-13,3668,-1.8492082650771724,-0.7417203020015113,-0.3350798058289603,-2.070668791136587,-1.7701091324260099,-0.7104346534268128,-0.8136701931098899,-1.1613570548194254,-0.7398645203060927,-1.0469611904232934
