날짜,평균기온
2021-10-15,18.4
2021-10-16,13.65
2021-10-17,7.4
2021-10-18,10.05
2021-10-19,11.3
2021-10-20,10.05
2021-10-21,11.05
2021-10-22,10.4
2021-10-23,11.35
2021-10-24,12.0
2021-10-25,12.35
2021-10-26,13.2
2021-10-27,14.4
2021-10-28,13.35
2021-10-29,12.7
2021-10-30,13.15
2021-10-31,13.5
2021-11-01,14.15
2021-11-02,11.55
2021-11-03,12.2
2021-11-04,13.25
2021-11-05,13.4
2021-11-06,14.7
2021-11-07,15.0
2021-11-08,11.4
2021-11-09,8.05
2021-11-10,8.05
2021-11-11,8.05
2021-11-12,7.0
2021-11-13,9.0
2021-11-14,10.7
2021-11-15,9.95
2021-11-16,9.55
2021-11-17,8.7
2021-11-18,10.75
2021-11-19,11.8
2021-11-20,11.15
2021-11-21,11.4
2021-11-22,6.8
2021-11-23,4.1
2021-11-24,6.85
2021-11-25,7.95
2021-11-26,5.6
2021-11-27,4.6
2021-11-28,7.15
2021-11-29,10.35
2021-11-30,9.7
2021-12-01,2.65
2021-12-02,3.7
2021-12-03,5.65
2021-12-04,4.9
2021-12-05,4.25
2021-12-06,6.95
2021-12-07,6.1
2021-12-08,5.25
2021-12-09,7.3
2021-12-10,10.4
2021-12-11,8.1
2021-12-12,6.45
2021-12-13,2.0
2021-12-14,3.2
2021-12-15,7.1
2021-12-16,8.0
2021-12-17,0.35
2021-12-18,-1.65
2021-12-19,2.75
2021-12-20,5.95
2021-12-21,7.45
2021-12-22,3.3
2021-12-23,2.95
2021-12-24,2.7
2021-12-25,-3.85
2021-12-26,-7.2
2021-12-27,-3.55
2021-12-28,1.25
2021-12-29,4.05
2021-12-30,0.95
2021-12-31,-2.25
2022-01-01,-1.25
2022-01-02,1.35
2022-01-03,-0.3
2022-01-04,0.65
2022-01-05,0.7
2022-01-06,1.3
2022-01-07,-0.1
2022-01-08,1.6
2022-01-09,2.15
2022-01-10,2.2
2022-01-11,-0.9
2022-01-12,-2.7
2022-01-13,-2.75
2022-01-14,-1.35
2022-01-15,2.0
2022-01-16,2.0
2022-01-17,-0.7
2022-01-18,-2.2
2022-01-19,-1.35
2022-01-20,-2.25
2022-01-21,-0.5
2022-01-22,4.15
2022-01-23,4.35
2022-01-24,2.8
2022-01-25,4.15
2022-01-26,4.15
2022-01-27,2.2
2022-01-28,1.25
2022-01-29,0.7
2022-01-30,0.0
2022-01-31,1.0
2022-02-01,1.65
2022-02-02,0.7
2022-02-03,-0.25
2022-02-04,-1.1
2022-02-05,-2.95
2022-02-06,-0.55
2022-02-07,-0.25
2022-02-08,1.5
2022-02-09,2.0
2022-02-10,3.15
2022-02-11,3.55
2022-02-12,5.05
2022-02-13,4.9
2022-02-14,4.65
2022-02-15,-0.6
2022-02-16,-3.75
2022-02-17,-4.35
2022-02-18,1.35
2022-02-19,2.5
2022-02-20,-2.4
2022-02-21,-0.2
2022-02-22,-0.95
2022-02-23,-2.7
