날짜,가격,총반입량,평균기온,강수량,환율,경유가격,lag_1,lag_7,lag_30,ma_7,ma_30
2021-01-30,3246,-1.3158676525795947,-1.4175836514947013,-0.32692049207298274,-1.8399206294161219,-1.6924049825462721,-0.9230728925413247,-1.046402791931851,-1.1049774547959508,-1.0119237641890744,-1.1262093619309517
2021-01-31,3246,-1.3158676525795947,-0.960399530027585,-0.18905037071274758,-1.8399206294161219,-1.6924049825462721,-0.9230728925413247,-1.046402791931851,-1.1049774547959508,-0.9930105251914997,-1.1183456679302568
2021-02-01,3300,-0.05753282556381102,-0.6269240531927471,0.40245692415535816,-1.7867669589522408,-1.6872511575052291,-0.9230728925413247,-1.0388826254517707,-1.1049774547959508,-0.9698615087100934,-1.10917539092637
2021-02-02,3340,-0.2456113406337858,-1.670379577482401,-0.32692049207298274,-1.7924550986337369,-1.6872511575052291,-0.8861174854238764,-1.0388826254517707,-1.1049774547959508,-0.942772234104192,-1.0990372746608588
2021-02-03,3401,-0.2903919394599703,-1.611214573527833,-0.32692049207298274,-1.8262708687220144,-1.6872511575052291,-0.8587431097813221,-1.0443518374372835,-1.0947762268352255,-0.9088860142335377,-1.0877861432444802
2021-02-04,3399,-0.35308477781662856,-1.4175836514947013,-0.27355141283676265,-1.8310273948061286,-1.6872511575052291,-0.8169971869264266,-0.9917106720767211,-1.0832148351464033,-0.88278180415876,-1.076994735477373
2021-02-05,3518,-0.5904219515954063,-1.2131954560152847,-0.32692049207298274,-1.769187509231034,-1.6820973324641861,-0.8183659057085544,-0.9151417042795393,-1.073013607185678,-0.8559880489121962,-1.0636869456300437
2021-02-06,3518,-0.9307545026744083,-0.7775258814407384,-0.32692049207298274,-1.769187509231034,-1.6820973324641861,-0.7369271381719553,-0.9151417042795393,-1.067572952273291,-0.8291942936656322,-1.050572723635039
2021-02-07,3518,-0.9307545026744083,-0.8904772526267319,-0.32692049207298274,-1.769187509231034,-1.6820973324641861,-0.7369271381719553,-0.9151417042795393,-1.063492461089001,-0.802400538419068,-1.0376036775292778
2021-02-08,3610,-0.021708346502863442,-1.5251563859575523,-0.32692049207298274,-1.7927656330524808,-1.6769435074231431,-0.7369271381719553,-0.8782245233773267,-1.063492461089001,-0.7718635379542341,-1.0224086011217814
2021-02-09,3637,-0.7561101672522889,-1.3906904678789886,-0.32692049207298274,-1.798143238315233,-1.6717896823821001,-0.6739660741940803,-0.8508784634497618,-1.063492461089001,-0.7426071213798607,-1.0065602332126888
2021-02-10,3668,-0.5187729934735111,-1.1647877255070016,-0.32692049207298274,-1.8636022681575333,-1.661482032300014,-0.6554883706353561,-0.8091757220602253,-1.038329432119212,-0.7163058983988588,-0.9908570411928402
2021-02-11,3668,-1.8129322995502426,-0.8689627057341617,-0.32692049207298274,-1.9258562030713364,-1.656328207258971,-0.6342732295123765,-0.8105430250566036,-1.038329432119212,-0.6898076625116317,-0.9751538491729914
2021-02-12,3668,-1.8129322995502426,-0.6484386000853174,-0.32692049207298274,-1.9440567216300313,-1.651174382217928,-0.6342732295123765,-0.7291884967720978,-1.0512509875361307,-0.6750316945447765,-0.9589909335038711
2021-02-13,3668,-1.8129322995502426,-0.7291181509324556,-0.32692049207298274,-1.9440567216300313,-1.651174382217928,-0.6342732295123765,-0.7291884967720978,-1.051931069400179,-0.6602557265779216,-0.9428038218532104
2021-02-14,3668,-1.8129322995502426,-0.5570017757918941,-0.32692049207298274,-1.9440567216300313,-1.651174382217928,-0.6342732295123765,-0.7291884967720978,-1.051931069400179,-0.6454797586110663,-0.9266167102025495
2021-02-15,3704,-0.8904519637308422,-1.0948654481061486,-0.31802564553361273,-1.932164149969918,-1.6408667321358419,-0.6342732295123765,-0.6662925589386985,-1.051931069400179,-0.6362201520185037,-0.9095585432164272
2021-02-16,3704,-0.9217983829091714,-1.5950786633584053,-0.27355141283676265,-1.9438497021312517,-1.6305590820537559,-0.6096362914340776,-0.6478339684875922,-1.051931069400179,-0.6296202196599752,-0.8925003762303048
2021-02-17,3704,-0.9710570416179743,-2.0737773317180923,-0.25576171975802264,-1.9002103454560018,-1.6254052570127129,-0.6096362914340776,-0.6266407720437294,-1.0464904144877922,-0.6260739873479297,-0.8756357770965073
2021-02-18,3756,-1.3606482514057794,-1.8048454955609645,-0.32692049207298274,-1.9199610335499113,-1.6150976069306269,-0.6096362914340776,-0.6266407720437294,-1.0464904144877922,-0.6174054194740415,-0.8575129869225985
2021-02-19,3826,-1.1815258561010413,-0.9765354401970125,-0.32692049207298274,-1.9026921182474485,-1.6047899568485406,-0.574049603098757,-0.6266407720437294,-1.0342489409349218,-0.6018413998822875,-0.8381320057085784
2021-02-20,3826,-0.9710570416179743,-0.27731266618848166,-0.32692049207298274,-1.9026921182474485,-1.5996361318074976,-0.5261444457242869,-0.6266407720437294,-1.0342489409349218,-0.5862773802905332,-0.8187510244945586
2021-02-21,3826,-0.9710570416179743,-0.22352629895705622,-0.32692049207298274,-1.9026921182474485,-1.5944823067664546,-0.5261444457242869,-0.6266407720437294,-1.0145265668775196,-0.5707133606987792,-0.800071726745216
2021-02-22,4172,0.09919927032783464,-0.6914676938704577,-0.32692049207298274,-1.926270252410045,-1.5893284817254116,-0.5261444457242869,-0.602029318108921,-1.0145265668775196,-0.5246123406421912,-0.7730206193828263
2021-02-23,4331,-0.6038561312432617,-1.24546727635414,-0.32692049207298274,-1.8566732420803138,-1.5790208316433256,-0.289356096416192,-0.602029318108921,-1.0145265668775196,-0.4628487945407364,-0.7421223509554813
2021-02-24,4449,-0.22322104122069358,-1.2024381825689996,-0.32692049207298274,-1.8707370521131297,-1.5738670066022826,-0.1805429532370385,-0.602029318108921,-1.0070456663729876,-0.3894614869720227,-0.7086351125032918
2021-02-25,4496,-0.4381679155863791,-0.901234526073017,0.13561152797425788,-1.8924544823217675,-1.5635593565201966,-0.09978854509150323,-0.5664794402030866,-1.0070456663729876,-0.31656671166887024,-0.6740106629186946
2021-02-26,4461,-0.7023734486608675,-0.7291181509324556,-0.23352460340959763,-1.769187509231034,-1.5584055314791534,-0.06762365371150189,-0.5186238353298479,-1.0124863212853745,-0.254015113942517,-0.6400395048356933
2021-02-27,4461,-0.9934473410310666,-0.8366908853953064,-0.10010190531904746,-1.769187509231034,-1.5480978813970674,-0.09157623239873693,-0.5186238353298479,-0.9601200177536512,-0.19146351621616378,-0.6079314373313184
2021-02-28,4461,-0.9934473410310666,-0.6000308695770344,-0.32692049207298274,-1.769187509231034,-1.5480978813970674,-0.09157623239873693,-0.5186238353298479,-0.8839508489802355,-0.12891191848980993,-0.5785333197594905
2021-03-01,4461,-0.4202556760559053,-0.7022249673167429,4.756484305176978,-1.7253411330570045,-1.5377902313149814,-0.09157623239873693,-0.28208041695641134,-0.8839508489802355,-0.10044355354033602,-0.5491352021876625
2021-03-02,4533,-0.3083041789904441,-1.3315254639244207,0.06890017892898279,-1.9480899255770951,-1.5274825812328954,-0.09157623239873693,-0.17337982874434074,-0.8839508489802355,-0.08054525001163756,-0.5179949739449115
2021-03-03,4554,-1.1322671973922385,-1.089486811383006,-0.32692049207298274,-1.7154140315500674,-1.5223287561918524,-0.042302356242139134,-0.09270895195802421,-0.8472264283216243,-0.07020207243483895,-0.4876532130930003
2021-03-04,4562,-0.8725397242003685,-0.6968463305936002,0.22455999336795798,-1.6619498266674424,-1.5171749311508094,-0.02793080902979811,-0.060577331543135424,-0.8200231537596901,-0.06370064652942259,-0.45808572365038797
2021-03-05,4448,-0.8904519637308422,-0.4440504046059007,-0.32247306880329774,-1.6221366440993272,-1.5068672810687234,-0.022455933901287244,-0.08450513397975473,-0.7785381600527405,-0.06498123041988356,-0.43275253097738065
2021-03-06,4448,-1.5532048263583724,-1.008807260535868,-0.11344417512810247,-1.6221366440993272,-1.4914058059455941,-0.10047290448256709,-0.08450513397975473,-0.7798983237808372,-0.06626181431034389,-0.4073709463412921
2021-03-07,4448,-1.5532048263583724,-0.9335063464118724,-0.31357822226392773,-1.6221366440993272,-1.4810981558635081,-0.10047290448256709,-0.08450513397975473,-0.698968581959083,-0.06754239820080485,-0.3848686835085349
2021-03-08,4534,0.4216195818763629,-0.9066131627961597,-0.32692049207298274,-1.6827356432786984,-1.4656366807403791,-0.10047290448256709,-0.08450513397975473,-0.698968581959083,-0.06035142712360191,-0.36028556626328645
2021-03-09,4553,-0.5411632928866034,-0.6699531469778875,-0.32692049207298274,-1.5509894849166805,-1.4501752056172499,-0.04161799685107528,-0.035282226110137864,-0.698968581959083,-0.05838129806135501,-0.33524272536876604
2021-03-10,4566,-0.7426759876044335,-0.6269240531927471,-0.32692049207298274,-1.6060038489933706,-1.4347137304941209,-0.028615168420861967,-0.02092554464816628,-0.6364010504666344,-0.05719922062400624,-0.3121113670159532
2021-03-11,4641,-0.46503627488208976,-0.27731266618848166,-0.033390556273772375,-1.594628831250781,-1.4192522553709919,-0.01971849633703181,-0.015456332662653293,-0.6180388401373288,-0.04941721082812955,-0.287818601549192
2021-03-12,4683,-0.397865376642813,-0.605409506300177,0.989516795753779,-1.66050191043179,-1.4089446052889059,0.031608457992757556,-0.09339260345621334,-0.5969563023518298,-0.026268194346722593,-0.2632596802854841
2021-03-13,4683,-1.7009808024847812,-0.7506326978250257,-0.32692049207298274,-1.66050191043179,-1.3934831301657766,0.060351552417439606,-0.09339260345621334,-0.5969563023518298,-0.003119177865316272,-0.2387007590217755
2021-03-14,4683,-1.7009808024847812,-0.6107881430233196,-0.32692049207298274,-1.66050191043179,-1.3831754800836906,0.060351552417439606,-0.09339260345621334,-0.5969563023518298,0.02002983861609005,-0.21414183775806764
2021-03-15,4753,-0.15605014298141687,-0.2396622091264839,-0.31357822226392773,-1.610244072439214,-1.3728678300016046,0.060351552417439606,-0.03459857461194874,-0.5969563023518298,0.041602751847698224,-0.18788919778651736
2021-03-16,4772,-0.5635535922996956,-0.40102131082076026,0.011083676423077683,-1.64240489645191,-1.3522525298374326,0.10825670979190968,-0.0216091961463554,-0.5969563023518298,0.06317566507930703,-0.16117683416569645
2021-03-17,4787,-0.5322071731213665,-0.6753317837010301,-0.32692049207298274,-1.6584341869790515,-1.3419448797553464,0.12125953822212299,-0.0127217266698968,-0.572473355246089,0.0849455912171402,-0.13497258615722732
2021-03-18,4822,-0.617290310891117,-0.5892735961307494,-0.32692049207298274,-1.7485052075397427,-1.3264834046322174,0.13152492908808086,0.038552135694287434,-0.572473355246089,0.10277525923047894,-0.10792147879483768
2021-03-19,4873,-1.2397406345750812,-0.3902640373744752,-0.32692049207298274,-1.6970064831514435,-1.3161757545501314,0.1554775077753159,0.06726549861823061,-0.572473355246089,0.12149148532182862,-0.07963637637387695
2021-03-20,4873,-1.5800731856540833,-0.5892735961307494,0.6693023203364585,-1.6970064831514435,-1.3110219295090884,0.19037983671957268,0.06726549861823061,-0.5371090983155746,0.1402077114131783,-0.05260946499302755
2021-03-21,4873,-1.5800731856540833,-0.7398754243787407,-0.32692049207298274,-1.6970064831514435,-1.3058681044680454,0.19037983671957268,0.06726549861823061,-0.4895033678321898,0.1589239375045286,-0.027276272320020525
2021-03-22,4876,0.04994061161903172,-0.7344967876555981,-0.32692049207298274,-1.6828391581986628,-1.3007142794270024,0.19037983671957268,0.11512110349146923,-0.4895033678321898,0.17104023123734977,-0.0018704917023914418
2021-03-23,4859,-0.3844311969949577,-0.44942904132904327,-0.32692049207298274,-1.7072441190771246,-1.2904066293449161,0.19243291489276426,0.12811048195706257,-0.4895033678321898,0.17961029265812584,0.0231239572290475
