날짜,총반입량,평균기온,강수량,환율,경유가격,총반입량_lag_1,총반입량_lag_7,총반입량_lag_30,평균기온_lag_1,평균기온_lag_7,평균기온_lag_30,강수량_lag_1,강수량_lag_7,강수량_lag_30,환율_lag_1,환율_lag_7,환율_lag_30,경유가격_lag_1,경유가격_lag_7,경유가격_lag_30
2021-01-30,-1.3544530548590659,-1.4268716332146048,-0.3350798058289603,-1.9738044568988644,-1.8135798061597044,-0.022136046800853595,-1.2852973942840669,-1.4761204187601182,-1.9803619676978945,-0.9111866587756242,-1.964877526653033,-0.32580234482707854,0.7176948063212669,-0.3182325758090084,-1.9711565245841145,-2.0730497626536426,-2.1361705580341623,-1.8123190251251777,-1.8101815357784932,-1.9355073146339128
2021-01-31,-1.3544530548590659,-0.9718883273309097,-0.1911958491212515,-1.9738044568988644,-1.8135798061597044,-1.3550690925403888,-1.2852973942840669,-1.4761204187601182,-1.4242264697517564,-0.8844962061781205,-1.6393839166172361,-0.3350851956284399,-0.28013259065705304,-0.3321948612917338,-1.9711565245841145,-2.0730497626536426,-2.15298194901574,-1.8123190251251777,-1.8101815357784932,-1.913604023082176
2021-02-01,-0.10196463980241777,-0.6400181512745675,0.42611273933440236,-1.9243624738907157,-1.8081459719429924,-1.3550690925403888,-0.9602229658397696,-1.4761204187601182,-0.9696926493150083,-0.9058485682561234,-1.5763851533845012,-0.19120100820733918,-0.3358252825814244,-0.3321948612917338,-1.9711565245841145,-2.027603767760319,-2.15298194901574,-1.8123190251251777,-1.8101815357784932,-1.9026523773063078
2021-02-02,-0.2891693139389986,-1.6784506376444126,-0.3350798058289603,-1.9296534143474355,-1.8081459719429924,-0.10237950774838413,-0.25218414224191654,-1.4761204187601182,-0.6381503332317335,-0.8684819346196183,-1.6393839166172361,0.4261085700831895,0.086510964511725,-0.3321948612917338,-1.9217352436229458,-2.0555045455781227,-2.15298194901574,-1.8068825824231054,-1.8101815357784932,-1.8971765544183734
2021-02-03,-0.33374185540008927,-1.6195704451182873,-0.3350798058289603,-1.9611078504291015,-1.8081459719429924,-0.28961424995928875,-0.9290514453040151,-0.6033052844166342,-1.6755569351697228,-1.114034098516652,-1.455637523855093,-0.3350851956284399,-0.3358252825814244,-0.3321948612917338,-1.927023968689197,-2.0625034338359765,-2.152222538626409,-1.8068825824231054,-1.804729482207068,-1.8862249086425051
2021-02-04,-0.3961434134456162,-1.4268716332146048,-0.27938279032920205,-1.9655322312813777,-1.8081459719429924,-0.33419395048569456,0.023906468217623662,-0.28873739335883025,-1.6167349113484966,-1.5250670685182084,-1.57113525644844,-0.3350851956284399,-0.28013259065705304,-0.3321948612917338,-1.958465234360336,-2.0001828583735737,-2.13427145269176,-1.8068825824231054,-1.804729482207068,-1.8752732628666366
2021-02-05,-0.6323778831893968,-1.2234673317607176,-0.3350798058289603,-1.9080105861128223,-1.8027121377262807,-0.3966055312226628,-0.02062427540488282,-0.08936337789965877,-1.4242264697517564,-1.97346667215627,-1.8598795879318077,-0.2793880908202719,-0.3265431672606958,-0.32288667096991686,-1.9628877626627206,-1.9542570142247506,-2.135886505723969,-1.8068825824231054,-1.804729482207068,-1.8697974399787025
2021-02-06,-0.9711291982936859,-0.7898950049774318,-0.3350798058289603,-1.9080105861128223,-1.8027121377262807,-0.6328779440126138,-1.3520935097178266,-1.2280105328553717,-1.2210231147329749,-1.4183052581281939,-2.468867632514911,-0.3350851956284399,-0.3358252825814244,-0.29496210000446604,-1.905390202608236,-1.9542570142247506,-2.131137578880889,-1.801446139721033,-1.804729482207068,-1.8588457942028342
2021-02-07,-0.9711291982936859,-0.90230264525458,-0.3350798058289603,-1.9080105861128223,-1.8027121377262807,-0.9716836680132983,-1.3520935097178266,-1.4894120197907297,-0.7878791211403093,-0.9645675639706315,-2.684113406893422,-0.3350851956284399,-0.19195249511013177,-0.3135784806480999,-1.905390202608236,-1.9542570142247506,-2.0730107618108526,-1.801446139721033,-1.804729482207068,-1.8533699713148999
2021-02-08,-0.06630660663354522,-1.5339265287166508,-0.3350798058289603,-1.929942264342572,-1.797278303509569,-0.9716836680132983,-0.10077961392539449,-1.8925905843859432,-0.9001757120717412,-0.633605951761586,-2.3533698999215638,-0.3350851956284399,0.42530817371831736,-0.32754076613082533,-1.905390202608236,-1.9049756768885386,-2.0730107618108526,-1.801446139721033,-1.7992774286356428,-1.8478941484269658
