Date,Close
2020-12-31,1086.420044
2021-01-01,1084.650024
2021-01-02,1084.650024
2021-01-03,1084.650024
2021-01-04,1084.72998
2021-01-05,1086.619995
2021-01-06,1086.449951
2021-01-07,1086.949951
2021-01-08,1093.069946
2021-01-09,1093.069946
2021-01-10,1093.069946
2021-01-11,1092.819946
2021-01-12,1096.449951
2021-01-13,1093.540039
2021-01-14,1097.109985
2021-01-15,1094.900024
2021-01-16,1094.900024
2021-01-17,1094.900024
2021-01-18,1102.959961
2021-01-19,1103.099976
2021-01-20,1100.98999
2021-01-21,1096.25
2021-01-22,1099.900024
2021-01-23,1099.900024
2021-01-24,1099.900024
2021-01-25,1104.640015
2021-01-26,1101.72998
2021-01-27,1101
2021-01-28,1107.5
2021-01-29,1112.290039
2021-01-30,1112.290039
2021-01-31,1112.290039
2021-02-01,1117.430054
2021-02-02,1116.880005
2021-02-03,1113.609985
2021-02-04,1113.150024
2021-02-05,1119.130005
2021-02-06,1119.130005
2021-02-07,1119.130005
2021-02-08,1116.849976
2021-02-09,1116.329956
2021-02-10,1110
2021-02-11,1103.97998
2021-02-12,1102.219971
2021-02-13,1102.219971
2021-02-14,1102.219971
2021-02-15,1103.369995
2021-02-16,1102.23999
2021-02-17,1106.459961
2021-02-18,1104.550049
2021-02-19,1106.219971
2021-02-20,1106.219971
2021-02-21,1106.219971
2021-02-22,1103.939941
2021-02-23,1110.670044
2021-02-24,1109.310059
2021-02-25,1107.209961
2021-02-26,1119.130005
2021-02-27,1119.130005
2021-02-28,1119.130005
2021-03-01,1123.369995
2021-03-02,1101.829956
2021-03-03,1124.329956
2021-03-04,1129.5
2021-03-05,1133.349976
2021-03-06,1133.349976
2021-03-07,1133.349976
2021-03-08,1127.48999
2021-03-09,1140.22998
2021-03-10,1134.910034
2021-03-11,1136.01001
2021-03-12,1129.640015
2021-03-13,1129.640015
2021-03-14,1129.640015
2021-03-15,1134.5
2021-03-16,1131.390015
2021-03-17,1129.839966
2021-03-18,1121.130005
2021-03-19,1126.109985
2021-03-20,1126.109985
2021-03-21,1126.109985
2021-03-22,1127.47998
2021-03-23,1125.119995
2021-03-24,1133.199951
2021-03-25,1134.47998
2021-03-26,1134.209961
2021-03-27,1134.209961
2021-03-28,1127.959961
